County Latitude,County Longitude,county,type,modified,license,rightsholder,accessrights,bibliographiccitation,references,institutionid,collectionid,datasetid,institutioncode,collectioncode,datasetname,basisofrecord,informationwithheld,datageneralizations,dynamicproperties,occurrenceid,catalognumber,recordnumber,recordedby,individualcount,sex,lifestage,reproductivecondition,behavior,establishmentmeans,occurrencestatus,preparations,disposition,associatedmedia,associatedreferences,associatedsequences,associatedtaxa,othercatalognumbers,occurrenceremarks,organismid,organismname,organismscope,associatedoccurrences,associatedorganisms,previousidentifications,organismremarks,materialsampleid,eventid,fieldnumber,eventdate,eventtime,startdayofyear,enddayofyear,year,decade,month,day,verbatimeventdate,habitat,samplingprotocol,samplingeffort,fieldnotes,eventremarks,locationid,highergeographyid,highergeography,continent,waterbody,islandgroup,island,country,countrycode,stateprovince,municipality,locality,verbatimlocality,minimumelevationinmeters,maximumelevationinmeters,verbatimelevation,minimumdepthinmeters,maximumdepthinmeters,verbatimdepth,minimumdistanceabovesurfaceinmeters,maximumdistanceabovesurfaceinmeters,locationaccordingto,locationremarks,decimallatitude,decimallongitude,geodeticdatum,coordinateuncertaintyinmeters,coordinateprecision,verbatimcoordinates,verbatimlatitude,verbatimlongitude,verbatimcoordinatesystem,verbatimsrs,footprintwkt,footprintsrs,georeferencedby,georeferenceddate,georeferenceprotocol,georeferencesources,georeferenceverificationstatus,georeferenceremarks,geologicalcontextid,earliesteonorlowesteonothem,latesteonorhighesteonothem,earliesteraorlowesterathem,latesteraorhighesterathem,earliestperiodorlowestsystem,latestperiodorhighestsystem,earliestepochorlowestseries,latestepochorhighestseries,earliestageorloweststage,latestageorhigheststage,lowestbiostratigraphiczone,highestbiostratigraphiczone,lithostratigraphicterms,group,formation,member,bed,identificationid,identificationqualifier,typestatus,identifiedby,dateidentified,identificationreferences,identificationverificationstatus,identificationremarks,scientificnameid,namepublishedinid,scientificname,acceptednameusage,originalnameusage,namepublishedin,namepublishedinyear,higherclassification,kingdom,phylum,class,order,family,genus,subgenus,specificepithet,infraspecificepithet,taxonrank,verbatimtaxonrank,scientificnameauthorship,vernacularname,nomenclaturalcode,taxonomicstatus,taxonremarks,lengthinmm,lengthtype,lengthunitsinferred,massing,massunitsinferred,underivedlifestage,underivedsex,dataset_url,dataset_citation,gbifdatasetid,gbifpublisherid,dataset_contact_email,dataset_contact,dataset_pubdate,lastindexed,migrator_version,hasmedia,hastissue,wascaptive,isfossil,isarch,vntype,haslength
35.9022,-100.3498,Hemphill,PhysicalObject,47:00.0,CC0,,,California Academy of Sciences. CAS Herpetology (HERP). Record ID: urn:catalog:CAS:SUR:10430. Source: http://ipt.calacademy.org:8080/ipt/resource.do?r=herp (source published on 2019-03-06),http://portal.vertnet.org/o/cas/sur?id=urn-catalog-cas-sur-10430,SUR,,,CAS,SUR,,PreservedSpecimen,,,,urn:catalog:CAS:SUR:10430,10430,688,J.C. Marr,,,,,,,,Alcohol,,,,,,,,,,,,,,,,,,9/15/1942,,258,258,1942,1940,9,15,15-Sep-42,,,,,,,,North America; USA; Texas; Hemphill Co.,North America,,,,USA,,Texas,,8 mi S of Canadian,"8 mi. S. of Canadian, Hemphill Co., Texas",,,,,,,,,,,35.80539,-100.39739,NAD27,1436,,,,,DD,,,,,,,Maptech Terrain Navigator map scale not recorded,,Assumed south on US 83; no other rd leads south from Canadian.,,,,,,,,,,,,,,,,,,,,,,J.C. Marr,1/1/1943,,,,,,Terrapene ornata,,,,,Animalia; Chordata; Reptilia; Testudines; Emydidae,Animalia,Chordata,Reptilia,Testudines,Emydidae,Terrapene,,ornata,,,,,,,,,,,,,,,,,California Academy of Sciences. CAS Herpetology (HERP). Source: http://ipt.calacademy.org:8080/ipt/resource.do?r=herp (source published on 2019-03-06),cece4fc2-1fec-4bb5-a335-7252548e3f0b,66522820-055c-11d8-b84e-b8a03c50a862,lscheinberg@calacademy.org,Lauren Scheinberg,3/6/2019,8/4/2019,no migrator,0,0,0,0,0,specimen,0
34.9875,-100.8903,Donley,PhysicalObject,47:00.0,CC0,,,California Academy of Sciences. CAS Herpetology (HERP). Record ID: urn:catalog:CAS:SUR:10431. Source: http://ipt.calacademy.org:8080/ipt/resource.do?r=herp (source published on 2019-03-06),http://portal.vertnet.org/o/cas/sur?id=urn-catalog-cas-sur-10431,SUR,,,CAS,SUR,,PreservedSpecimen,,,,urn:catalog:CAS:SUR:10431,10431,737,J.C. Marr,,,,,,,,Alcohol,,,,,,,,,,,,,,,,,,9/29/1942,,272,272,1942,1940,9,29,29-Sep-42,,,,,,,,North America; USA; Texas; Donley Co.,North America,,,,USA,,Texas,,10 mi N of Clarendon,"10 mi. N. of Clarendon, Donley Co., Texas",,,,,,,,,,,35.07486,-100.89336,NAD27,2003,,,,,DD,,,,,,,Maptech Terrain Navigator map scale not recorded,,Assumed north on Hwy 70; no other rd leads north from Clarendon.,,,,,,,,,,,,,,,,,,,,,,J.C. Marr,1/1/1943,,,,,,Terrapene ornata,,,,,Animalia; Chordata; Reptilia; Testudines; Emydidae,Animalia,Chordata,Reptilia,Testudines,Emydidae,Terrapene,,ornata,,,,,,,,,,,,,,,,,California Academy of Sciences. CAS Herpetology (HERP). Source: http://ipt.calacademy.org:8080/ipt/resource.do?r=herp (source published on 2019-03-06),cece4fc2-1fec-4bb5-a335-7252548e3f0b,66522820-055c-11d8-b84e-b8a03c50a862,lscheinberg@calacademy.org,Lauren Scheinberg,3/6/2019,8/4/2019,no migrator,0,0,0,0,0,specimen,0
34.9875,-100.8903,Donley,PhysicalObject,47:00.0,CC0,,,California Academy of Sciences. CAS Herpetology (HERP). Record ID: urn:catalog:CAS:SUR:10433. Source: http://ipt.calacademy.org:8080/ipt/resource.do?r=herp (source published on 2019-03-06),http://portal.vertnet.org/o/cas/sur?id=urn-catalog-cas-sur-10433,SUR,,,CAS,SUR,,PreservedSpecimen,,,,urn:catalog:CAS:SUR:10433,10433,748,C.G. Sibley,,,,,,,,Alcohol,,,,,,,,,,,,,,,,,,10/3/1942,,276,276,1942,1940,10,3,3-Oct-42,,,,,,,,North America; USA; Texas; Donley Co.,North America,,,,USA,,Texas,,12 mi S Clarendon,"12 mi. S. Clarendon, Donley Co., Texas",,,,,,,,,,,34.77575,-100.90262,NAD27,2003,,,,,DD,,,,,,,Maptech Terrain Navigator map scale not recorded,,Assumed south on Hwy 70; no other rd leads south from Clarendon.,,,,,,,,,,,,,,,,,,,,,,J.C. Marr,1/1/1943,,,,,,Terrapene ornata,,,,,Animalia; Chordata; Reptilia; Testudines; Emydidae,Animalia,Chordata,Reptilia,Testudines,Emydidae,Terrapene,,ornata,,,,,,,,,,,,,,,,,California Academy of Sciences. CAS Herpetology (HERP). Source: http://ipt.calacademy.org:8080/ipt/resource.do?r=herp (source published on 2019-03-06),cece4fc2-1fec-4bb5-a335-7252548e3f0b,66522820-055c-11d8-b84e-b8a03c50a862,lscheinberg@calacademy.org,Lauren Scheinberg,3/6/2019,8/4/2019,no migrator,0,0,0,0,0,specimen,0
33.5985,-100.7098,Dickens,PhysicalObject,47:00.0,CC0,,,California Academy of Sciences. CAS Herpetology (HERP). Record ID: urn:catalog:CAS:SUR:10434. Source: http://ipt.calacademy.org:8080/ipt/resource.do?r=herp (source published on 2019-03-06),http://portal.vertnet.org/o/cas/sur?id=urn-catalog-cas-sur-10434,SUR,,,CAS,SUR,,PreservedSpecimen,,,,urn:catalog:CAS:SUR:10434,10434,771,J.C. Marr,,"male,female",,,,,,Alcohol,,,,,,,Male and female copulating.,,,,,,,,,,,10/13/1942,,286,286,1942,1940,10,13,13-Oct-42,,,,,,,,North America; USA; Texas; Dickens Co.,North America,,,,USA,,Texas,,4.5 mi S of Glenn,"4 1/2 mi. S. of Glenn, Dickens Co., Texas",,,,,,,,,,,33.71611,-100.84084,NAD27,585,,,,,DD,,,,,,,Maptech Terrain Navigator map scale not recorded,,Assumed south on Hwy 70; no other rd leads south from Glenn.,,,,,,,,,,,,,,,,,,,,,,J.C. Marr,1/1/1943,,,,,,Terrapene ornata,,,,,Animalia; Chordata; Reptilia; Testudines; Emydidae,Animalia,Chordata,Reptilia,Testudines,Emydidae,Terrapene,,ornata,,,,,,,,,,,,,,,,,California Academy of Sciences. CAS Herpetology (HERP). Source: http://ipt.calacademy.org:8080/ipt/resource.do?r=herp (source published on 2019-03-06),cece4fc2-1fec-4bb5-a335-7252548e3f0b,66522820-055c-11d8-b84e-b8a03c50a862,lscheinberg@calacademy.org,Lauren Scheinberg,3/6/2019,8/4/2019,no migrator,0,0,0,0,0,specimen,0
33.7062,-96.6638,Grayson,PhysicalObject,8/16/2017,https://creativecommons.org/publicdomain/zero/1.0/,,http://vertnet.org/resources/norms.html,Carnegie Museum of Natural History. CM Herps Collection. Record ID: urn:catalog:CM:Herps:57151. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=cm_herps (source published on 2017-09-27),http://portal.vertnet.org/o/cm/herps?id=urn-catalog-cm-herps-57151,urn:lsid:biocol.org:col:34702,,,CM,Herps,,PreservedSpecimen,,,,urn:catalog:CM:Herps:57151,57151,,"HALLER, KARL W",1,,,,,,present,whole animal in alcohol,,,,,,,TANK 14.,,,,,,,,,,,6/24/1970,,175,175,1970,1970,6,24,6/24/1970,,,,,,,,NORTH AMERICA | UNITED STATES | TEXAS | GRAYSON |  |  |  |,North America,,,,United States,US,Texas,,4 MI SW OF POTTSBORO,North America | United States | Texas | Grayson | 4 MI SW OF POTTSBORO,,,,,,,,,,,33.68,-96.76,NAD27,3405,,,,,decimal degrees,,,,,,VertNet Georeferencing Guidelines,,requires verification,Assumed by air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TERRAPENE ORNATA ORNATA,,,,,Animalia | Chordata | Reptilia | Testudines | EMYDIDAE | TERRAPENE,Animalia,Chordata,Reptilia,Testudines,Emydidae,Terrapene,,ornata,ornata,subspecies,,,,ICZN,,,,,,,,,,,Carnegie Museum of Natural History. CM Herps Collection. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=cm_herps (source published on 2017-09-27),76dd8f0d-2daa-4a69-9fcd-55e04230334a,c1da06f0-580e-11dc-8a9e-b8a03c50a862,rogerss@carnegiemnh.org,Stephen Rogers,9/27/2017,10/19/2017,9/5/2015,0,0,0,0,,specimen,0
30.6925,-98.7481,Llano,PhysicalObject,6/20/2019,https://creativecommons.org/publicdomain/zero/1.0,,http://vertnet.org/resources/norms.html,Natural History Museum of Los Angeles County. LACM Vertebrate Collection. Record ID: A9CE33C8-B501-4E59-B59D-BE887174E29E. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=lacm_verts (source published on 2019-10-03),http://portal.vertnet.org/o/lacm/herps?id=a9ce33c8-b501-4e59-b59d-be887174e29e,http://biocol.org/urn:lsid:biocol:org:34802,http://biocol.org/urn:lsid:biocol:org:34803,,LACM,Herps,LACM Vertebrates,PreservedSpecimen,,,,A9CE33C8-B501-4E59-B59D-BE887174E29E,66693,673,R.D. Worthington,1,,,,,,present,,,,,,,,,,,,,,,,,,,5/14/1960,,135,135,1960,1960,5,14,5/14/1960,,,,,,,,| USA | Texas | Llano |  |  |  |,North America,,,,United States,US,Texas,,park 2.5 mi. W Bochanan Dam,USA | Texas | Llano | park 2.5 mi. W Bochanan Dam,,,,,,,,,,,30.73802,-98.44073,NAD27,150,,,30.73802,-98.44073,degrees decimal minutes,,,,,,VertNet Georeferencing Guidelines,,requires verification,georef at roadside park that is on Hwy 29 at about this offset from the Hwy 29 crossing of Colorado River (entrance to Buchanan Dam area),,,,,,,,,,,,,,,,,,,,,,,,,,,,,Terrapene ornata,,,,,Chordata | Reptilia | Chelonia | Emydidae | Terrapene |,Animalia,Chordata,Reptilia,Testudines,Emydidae,Terrapene,,ornata,,species,,,,ICZN,,,,,,,,,,,Natural History Museum of Los Angeles County. LACM Vertebrate Collection. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=lacm_verts (source published on 2019-10-03),7a25f7aa-03fb-4322-aaeb-66719e1a9527,493fe050-055d-11d8-b84f-b8a03c50a862,rfeeney@nhm.org,Rick Feeney,10/3/2019,10/9/2019,10/3/2019,0,0,0,0,0,specimen,0
33.5762,-98.7481,Archer,PhysicalObject,20:53.0,CC-BY-NC,President and Fellows of Harvard College,,"Museum of Comparative Zoology, Harvard University. Museum of Comparative Zoology, Harvard University, Subset of data for VERTNET. Record ID: MCZ:Herp:R-53622. Source: http://digir.mcz.harvard.edu/ipt/resource.do?r=mcz_subset_for_vertnet (source published on 2017-07-11)",http://mczbase.mcz.harvard.edu/guid/MCZ:Herp:R-53622,b4640710-8e03-11d8-b956-b8a03c50a862,,,MCZ,Herp,,PreservedSpecimen,,,{},MCZ:Herp:R-53622,R-53622,,R. van Frank,1,,,,,,,incomplete skeleton (dry),unknown,,,,,muse location number=ZR53621,,,,,,,,,,,,4/1/1954,,91,91,1954,1950,4,1,0/4/1954-0/4/1954,,,,,,,,North America: United States: Texas: Archer,North America,,,,United States,US,Texas,,[no specific locality data],"found dead Archer Co,Texas",,,,,,,,,,,33.61641,-98.68852,NAD27,34904,,,,,decimal degrees,,,,PSC (UT Austin),,MaNIS/HerpNET/ORNIS Georeferencing Guidelines,Maptech Terrain Navigator map scale not recorded,,,,,,,,,,,,,,,,,,,,,,,,Catalog,,,unverified,,,,Terrapene ornata ornata,,,,,Animalia Chordata Reptilia Anapsida Testudinata Cryptodira Testudinoidea Emydidae Terrapene ornata ornata,Animalia,Chordata,Reptilia,Testudinata,Emydidae,Terrapene,,ornata,ornata,,,"(Agassiz, 1857)",,ICZN,,,,,,,,,,,"Museum of Comparative Zoology, Harvard University. Museum of Comparative Zoology, Harvard University, Subset of data for VERTNET. Source: http://digir.mcz.harvard.edu/ipt/resource.do?r=mcz_subset_for_vertnet (source published on 2017-07-11)",4bfac3ea-8763-4f4b-a71a-76a6f5f243d3,b4640710-8e03-11d8-b956-b8a03c50a862,bhaley@oeb.harvard.edu,Brendan Haley,7/11/2017,9/22/2018,no migrator,0,0,0,0,0,specimen,0
32.7717,-101.9805,Dawson,PhysicalObject,22:29.0,CC-BY-NC,President and Fellows of Harvard College,,"Museum of Comparative Zoology, Harvard University. Museum of Comparative Zoology, Harvard University, Subset of data for VERTNET. Record ID: MCZ:Herp:R-96894. Source: http://digir.mcz.harvard.edu/ipt/resource.do?r=mcz_subset_for_vertnet (source published on 2017-07-11)",http://mczbase.mcz.harvard.edu/guid/MCZ:Herp:R-96894,b4640710-8e03-11d8-b956-b8a03c50a862,,,MCZ,Herp,,PreservedSpecimen,,,{},MCZ:Herp:R-96894,R-96894,968,John W. Olsen,1,,,,,,,whole animal (ethanol),unknown,,,,,collector number=968; muse location number=ZR96894,,,,,,,,,,,,6/19/1966,,170,170,1966,1960,6,19,19/6/1966-19/6/1966,,,,,,,,North America: United States: Texas: Dawson,North America,,,,United States,US,Texas,,Texas:Dawson Co.;26mi.W.Lamesa,Texas:Dawson Co.;26mi.W.Lamesa,,,,,,,,,,,32.70917,-102.39611,NAD27,2701,,,,,decimal degrees,,,,PSC (UT Austin),,MaNIS/HerpNET/ORNIS Georeferencing Guidelines,Maptech Terrain Navigator map scale not recorded,,Assumed west on US 180.,,,,,,,,,,,,,,,,,,,,,,Catalog,,,unverified,,,,Terrapene ornata ornata,,,,,Animalia Chordata Reptilia Anapsida Testudinata Cryptodira Testudinoidea Emydidae Terrapene ornata ornata,Animalia,Chordata,Reptilia,Testudinata,Emydidae,Terrapene,,ornata,ornata,,,"(Agassiz, 1857)",,ICZN,,,,,,,,,,,"Museum of Comparative Zoology, Harvard University. Museum of Comparative Zoology, Harvard University, Subset of data for VERTNET. Source: http://digir.mcz.harvard.edu/ipt/resource.do?r=mcz_subset_for_vertnet (source published on 2017-07-11)",4bfac3ea-8763-4f4b-a71a-76a6f5f243d3,b4640710-8e03-11d8-b956-b8a03c50a862,bhaley@oeb.harvard.edu,Brendan Haley,7/11/2017,9/22/2018,no migrator,0,0,0,0,0,specimen,0
32.6988,-102.7135,Gaines,PhysicalObject,22:29.0,CC-BY-NC,President and Fellows of Harvard College,,"Museum of Comparative Zoology, Harvard University. Museum of Comparative Zoology, Harvard University, Subset of data for VERTNET. Record ID: MCZ:Herp:R-96897. Source: http://digir.mcz.harvard.edu/ipt/resource.do?r=mcz_subset_for_vertnet (source published on 2017-07-11)",http://mczbase.mcz.harvard.edu/guid/MCZ:Herp:R-96897,b4640710-8e03-11d8-b956-b8a03c50a862,,,MCZ,Herp,,PreservedSpecimen,,,{},MCZ:Herp:R-96897,R-96897,46035,John W. Olsen,1,,,,,,,whole animal (ethanol),unknown,,,,,collector number=46035; muse location number=ZR96895,,,,,,,,,,,,6/19/1966,,170,170,1966,1960,6,19,19/6/1966-19/6/1966,,,,,,,,North America: United States: Texas: Gaines,North America,,,,United States,US,Texas,,"Texas:Gaines Co.,30mi. W. Lamesa","Texas:Gaines Co.,30mi.W. Lamesa",,,,,,,,,,,32.71128,-102.46475,NAD27,2701,,,,,decimal degrees,,,,PSC (UT Austin),,MaNIS/HerpNET/ORNIS Georeferencing Guidelines,Maptech Terrain Navigator map scale not recorded,,Assumed west on US 180; no other road leads west from Lamesa.,,,,,,,,,,,,,,,,,,,,,,Catalog,,,unverified,,,,Terrapene ornata ornata,,,,,Animalia Chordata Reptilia Anapsida Testudinata Cryptodira Testudinoidea Emydidae Terrapene ornata ornata,Animalia,Chordata,Reptilia,Testudinata,Emydidae,Terrapene,,ornata,ornata,,,"(Agassiz, 1857)",,ICZN,,,,,,,,,,,"Museum of Comparative Zoology, Harvard University. Museum of Comparative Zoology, Harvard University, Subset of data for VERTNET. Source: http://digir.mcz.harvard.edu/ipt/resource.do?r=mcz_subset_for_vertnet (source published on 2017-07-11)",4bfac3ea-8763-4f4b-a71a-76a6f5f243d3,b4640710-8e03-11d8-b956-b8a03c50a862,bhaley@oeb.harvard.edu,Brendan Haley,7/11/2017,9/22/2018,no migrator,0,0,0,0,0,specimen,0
35.8648,-102.5298,Hartley,PhysicalObject,03:12.0,http://arctosdb.org/home/data/,,http://vertnet.org/resources/norms.html,Museum of Southwestern Biology. MSB Amphibian and Reptile Collection (Arctos). Record ID: http://arctos.database.museum/guid/MSB:Herp:13301?seid=4290985. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=msb_herp (source published on 2019-07-05),http://arctos.database.museum/guid/MSB:Herp:13301,http://grbio.org/cool/km06-gtbn,http://grbio.org/cool/appb-7y8a,,MSB,Amphibian and reptile specimens,,PreservedSpecimen,,,,http://arctos.database.museum/guid/MSB:Herp:13301?seid=4290985,MSB:Herp:13301,3798,Collector(s): William G. Degenhardt,1,,,,,,,whole organism (55% isopropanol),,,,,,collector number=3798,,http://arctos.database.museum/guid/MSB:Herp:13301,,,,,<i>Terrapene ornata</i> (accepted ID) identified by William G. Degenhardt on 2019-05-07; method: field,,,,,6/11/1965,,162,162,1965,1960,6,11,6/11/1965,,,,,,,,"North America, United States, Texas, Hartley County",North America,,,,United States,,Texas,,"32.7 miles Southwest Dalhart, Route 54","32.7 miles Southwest Dalhart, Route 54",,,,,,,,,Alexander M. Sanchez,,35.748243,-102.898909,unknown,200,,35.748243/-102.898909,,,decimal degrees,,,,Alexander M. Sanchez,5/1/2019,GeoLocate,derived,unverified,,,,,,,,,,,,,,,,,,,,,A,,William G. Degenhardt,5/7/2019,,field,,,,Terrapene ornata,,,,,Animalia; Chordata; Reptilia; Testudines; Emydidae;,Animalia,Chordata,Reptilia,Testudines,Emydidae,Terrapene,,ornata,,species,,,,ICZN,,,,,,,,,,,Museum of Southwestern Biology. MSB Amphibian and Reptile Collection (Arctos). Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=msb_herp (source published on 2019-07-05),fb639e31-52eb-4998-afb1-984ee12aca0f,939ed180-aa7b-11db-8edf-b8a03c50a862,tomas@unm.edu,Tom Giermakowski,7/5/2019,7/8/2019,no migrator,0,0,0,0,0,specimen,0
